L,rho
10,0.24090374381588198
10,0.15600883097058824
10,0.00011081438895672279
10,0.317842510184787
10,0.34345708314281176
10,0.14090338333236074
10,0.09646351400420182
10,0.39315866530659493
10,0.20965187897352314
10,0.1370492882372272
10,0.3048910041018234
10,0.23401552847668744
10,0.2021594565066743
10,0.13701974078537807
10,0.2754856831471625
10,0.2591300522904361
10,0.13933054979941684
10,0.23631831680529777
10,0.04087047772946235
10,0.10951564397145652
30,0.3696431268855392
30,0.31019160026565795
30,0.12511850020872897
30,0.3186870936071276
30,0.30446295783261396
30,0.20994067418536524
30,0.216834823359435
30,0.33424235680345826
30,0.22226306501352452
30,0.17299315264154816
30,0.12923963938672062
30,0.13532054165243215
30,0.30292478718304067
30,0.33193842942237173
30,0.30244317285136435
30,0.2152290556243914
30,0.2679525056806283
30,0.38733725422039406
30,0.17097411219217398
30,0.38395172211057654
50,0.18899174219688725
50,0.4327391888116178
50,0.24359362054528907
50,0.1809513634527877
50,0.19546161916676916
50,0.2286715511273613
50,0.35056363735677953
50,0.2944932156656959
50,0.24560328438364537
50,0.32201697393498774
50,0.43505196140493435
50,0.2733258973851009
50,0.37765649093477144
50,0.2516209883088398
50,0.27614984204389537
50,0.2470450902354102
50,0.3592343266541913
50,0.2649290718813928
50,0.15340358566863177
50,0.286414648448429
70,0.2974455271832986
70,0.2214208612620954
70,0.1560040100613046
70,0.4246207665224255
70,0.21019164924091102
70,0.30390878672720867
70,0.3515728360358222
70,0.24666354122241535
70,0.3087912310587132
70,0.3662691840435793
70,0.295628689932522
70,0.19216434154039816
70,0.25957707331094815
70,0.25909065787148017
70,0.29554661537120863
70,0.284124003691717
70,0.12766443343973635
70,0.39507810896823836
70,0.2192334188750069
70,0.26205277190687937
90,0.32565355315385935
90,0.21643087643740982
90,0.24448994217968076
90,0.37551453405845675
90,0.24344757481301207
90,0.4821625357757045
90,0.15305076396204473
90,0.32727670878522713
90,0.2617308673330763
90,0.18149260660933947
90,0.3333804214855056
90,0.2497404099318153
90,0.3930061883645386
90,0.16815064525677684
90,0.24483644130127155
90,0.17889452944878395
90,0.1917153620785954
90,0.23821751502232869
90,0.25899128828031087
90,0.2316453793510191
110,0.2755568027174352
110,0.3030971830709858
110,0.2839887667991515
110,0.44119920769459425
110,0.14561855087713477
110,0.3122751125565904
110,0.1512230964960082
110,0.28719079569952716
110,0.30244577348364016
110,0.18460615577524048
110,0.2028721977497883
110,0.22514959089247388
110,0.23595935770786047
110,0.3091769690981214
110,0.3241222754512689
110,0.22811102171020603
110,0.19943803487476286
110,0.4763406586954883
110,0.18047088829001665
110,0.3214082846592699
